section,key,value,change_pct
theme_week,2025-02-10/2025-02-16|Audio quality fault,6,
theme_week,2025-02-10/2025-02-16|Charging & battery fault,1,
theme_week,2025-02-10/2025-02-16|Connectivity & pairing fault,3,
theme_week,2025-02-10/2025-02-16|Delivery delayed or not received,10,
theme_week,"2025-02-10/2025-02-16|Order change, cancellation & address",3,
theme_week,2025-02-10/2025-02-16|Payment & invoice,10,
theme_week,2025-02-10/2025-02-16|Pre-sales / compatibility (no fault),3,
theme_week,2025-02-10/2025-02-16|Return pickup & refund status,5,
theme_week,2025-02-10/2025-02-16|Unclear / other,20,
theme_week,2025-02-10/2025-02-16|Warranty claim / RMA status,2,
theme_week,2025-02-17/2025-02-23|Account access / login,1,
theme_week,2025-02-17/2025-02-23|App & firmware fault,4,
theme_week,2025-02-17/2025-02-23|Arrived damaged or dead on arrival,2,
theme_week,2025-02-17/2025-02-23|Audio quality fault,2,
theme_week,2025-02-17/2025-02-23|Charging & battery fault,9,
theme_week,2025-02-17/2025-02-23|Connectivity & pairing fault,8,
theme_week,2025-02-17/2025-02-23|Delivery delayed or not received,13,
theme_week,"2025-02-17/2025-02-23|Order change, cancellation & address",2,
theme_week,2025-02-17/2025-02-23|Payment & invoice,7,
theme_week,2025-02-17/2025-02-23|Pre-sales / compatibility (no fault),1,
theme_week,2025-02-17/2025-02-23|Return pickup & refund status,7,
theme_week,2025-02-17/2025-02-23|Unclear / other,25,
theme_week,2025-02-17/2025-02-23|Warranty claim / RMA status,2,
theme_week,2025-02-24/2025-03-02|App & firmware fault,4,
theme_week,2025-02-24/2025-03-02|Arrived damaged or dead on arrival,2,
theme_week,2025-02-24/2025-03-02|Audio quality fault,5,
theme_week,2025-02-24/2025-03-02|Charging & battery fault,4,
theme_week,2025-02-24/2025-03-02|Connectivity & pairing fault,4,
theme_week,2025-02-24/2025-03-02|Delivery delayed or not received,11,
theme_week,"2025-02-24/2025-03-02|Order change, cancellation & address",9,
theme_week,2025-02-24/2025-03-02|Payment & invoice,6,
theme_week,2025-02-24/2025-03-02|Pre-sales / compatibility (no fault),5,
theme_week,2025-02-24/2025-03-02|Return pickup & refund status,5,
theme_week,2025-02-24/2025-03-02|Unclear / other,24,
theme_week,2025-02-24/2025-03-02|Warranty claim / RMA status,1,
theme_week,2025-03-03/2025-03-09|Account access / login,3,
theme_week,2025-03-03/2025-03-09|App & firmware fault,14,
theme_week,2025-03-03/2025-03-09|Arrived damaged or dead on arrival,2,
theme_week,2025-03-03/2025-03-09|Audio quality fault,4,
theme_week,2025-03-03/2025-03-09|Charging & battery fault,11,
theme_week,2025-03-03/2025-03-09|Connectivity & pairing fault,8,
theme_week,2025-03-03/2025-03-09|Delivery delayed or not received,8,
theme_week,"2025-03-03/2025-03-09|Order change, cancellation & address",3,
theme_week,2025-03-03/2025-03-09|Payment & invoice,10,
theme_week,2025-03-03/2025-03-09|Pre-sales / compatibility (no fault),3,
theme_week,2025-03-03/2025-03-09|Return pickup & refund status,7,
theme_week,2025-03-03/2025-03-09|Unclear / other,23,
theme_week,2025-03-10/2025-03-16|Account access / login,2,
theme_week,2025-03-10/2025-03-16|App & firmware fault,4,
theme_week,2025-03-10/2025-03-16|Arrived damaged or dead on arrival,3,
theme_week,2025-03-10/2025-03-16|Audio quality fault,5,
theme_week,2025-03-10/2025-03-16|Charging & battery fault,8,
theme_week,2025-03-10/2025-03-16|Connectivity & pairing fault,6,
theme_week,2025-03-10/2025-03-16|Delivery delayed or not received,11,
theme_week,"2025-03-10/2025-03-16|Order change, cancellation & address",4,
theme_week,2025-03-10/2025-03-16|Payment & invoice,9,
theme_week,2025-03-10/2025-03-16|Pre-sales / compatibility (no fault),5,
theme_week,2025-03-10/2025-03-16|Return pickup & refund status,10,
theme_week,2025-03-10/2025-03-16|Unclear / other,19,
theme_week,2025-03-10/2025-03-16|Warranty claim / RMA status,2,
theme_week,2025-03-17/2025-03-23|Account access / login,1,
theme_week,2025-03-17/2025-03-23|App & firmware fault,7,
theme_week,2025-03-17/2025-03-23|Arrived damaged or dead on arrival,4,
theme_week,2025-03-17/2025-03-23|Audio quality fault,5,
theme_week,2025-03-17/2025-03-23|Charging & battery fault,5,
theme_week,2025-03-17/2025-03-23|Connectivity & pairing fault,3,
theme_week,2025-03-17/2025-03-23|Delivery delayed or not received,15,
theme_week,"2025-03-17/2025-03-23|Order change, cancellation & address",7,
theme_week,2025-03-17/2025-03-23|Payment & invoice,13,
theme_week,2025-03-17/2025-03-23|Pre-sales / compatibility (no fault),5,
theme_week,2025-03-17/2025-03-23|Return pickup & refund status,7,
theme_week,2025-03-17/2025-03-23|Unclear / other,26,
theme_week,2025-03-17/2025-03-23|Warranty claim / RMA status,1,
theme_week,2025-03-24/2025-03-30|Account access / login,2,
theme_week,2025-03-24/2025-03-30|App & firmware fault,6,
theme_week,2025-03-24/2025-03-30|Arrived damaged or dead on arrival,2,
theme_week,2025-03-24/2025-03-30|Audio quality fault,5,
theme_week,2025-03-24/2025-03-30|Charging & battery fault,8,
theme_week,2025-03-24/2025-03-30|Connectivity & pairing fault,7,
theme_week,2025-03-24/2025-03-30|Delivery delayed or not received,13,
theme_week,"2025-03-24/2025-03-30|Order change, cancellation & address",3,
theme_week,2025-03-24/2025-03-30|Payment & invoice,10,
theme_week,2025-03-24/2025-03-30|Pre-sales / compatibility (no fault),3,
theme_week,2025-03-24/2025-03-30|Return pickup & refund status,7,
theme_week,2025-03-24/2025-03-30|Unclear / other,28,
theme_week,2025-03-24/2025-03-30|Warranty claim / RMA status,4,
theme_week,2025-03-31/2025-04-06|Account access / login,3,
theme_week,2025-03-31/2025-04-06|App & firmware fault,10,
theme_week,2025-03-31/2025-04-06|Arrived damaged or dead on arrival,1,
theme_week,2025-03-31/2025-04-06|Audio quality fault,4,
theme_week,2025-03-31/2025-04-06|Charging & battery fault,8,
theme_week,2025-03-31/2025-04-06|Connectivity & pairing fault,8,
theme_week,2025-03-31/2025-04-06|Delivery delayed or not received,10,
theme_week,"2025-03-31/2025-04-06|Order change, cancellation & address",2,
theme_week,2025-03-31/2025-04-06|Payment & invoice,6,
theme_week,2025-03-31/2025-04-06|Pre-sales / compatibility (no fault),5,
theme_week,2025-03-31/2025-04-06|Return pickup & refund status,5,
theme_week,2025-03-31/2025-04-06|Unclear / other,22,
theme_week,2025-03-31/2025-04-06|Warranty claim / RMA status,2,
theme_week,2025-04-07/2025-04-13|Account access / login,3,
theme_week,2025-04-07/2025-04-13|App & firmware fault,4,
theme_week,2025-04-07/2025-04-13|Arrived damaged or dead on arrival,3,
theme_week,2025-04-07/2025-04-13|Audio quality fault,7,
theme_week,2025-04-07/2025-04-13|Charging & battery fault,7,
theme_week,2025-04-07/2025-04-13|Connectivity & pairing fault,5,
theme_week,2025-04-07/2025-04-13|Delivery delayed or not received,10,
theme_week,"2025-04-07/2025-04-13|Order change, cancellation & address",3,
theme_week,2025-04-07/2025-04-13|Payment & invoice,7,
theme_week,2025-04-07/2025-04-13|Pre-sales / compatibility (no fault),3,
theme_week,2025-04-07/2025-04-13|Return pickup & refund status,4,
theme_week,2025-04-07/2025-04-13|Unclear / other,24,
theme_week,2025-04-14/2025-04-20|Account access / login,1,
theme_week,2025-04-14/2025-04-20|App & firmware fault,6,
theme_week,2025-04-14/2025-04-20|Arrived damaged or dead on arrival,6,
theme_week,2025-04-14/2025-04-20|Audio quality fault,3,
theme_week,2025-04-14/2025-04-20|Charging & battery fault,11,
theme_week,2025-04-14/2025-04-20|Connectivity & pairing fault,2,
theme_week,2025-04-14/2025-04-20|Delivery delayed or not received,11,
theme_week,"2025-04-14/2025-04-20|Order change, cancellation & address",1,
theme_week,2025-04-14/2025-04-20|Payment & invoice,8,
theme_week,2025-04-14/2025-04-20|Pre-sales / compatibility (no fault),6,
theme_week,2025-04-14/2025-04-20|Return pickup & refund status,8,
theme_week,2025-04-14/2025-04-20|Unclear / other,27,
theme_week,2025-04-14/2025-04-20|Warranty claim / RMA status,1,
theme_week,2025-04-21/2025-04-27|App & firmware fault,11,
theme_week,2025-04-21/2025-04-27|Arrived damaged or dead on arrival,2,
theme_week,2025-04-21/2025-04-27|Audio quality fault,7,
theme_week,2025-04-21/2025-04-27|Charging & battery fault,9,
theme_week,2025-04-21/2025-04-27|Connectivity & pairing fault,9,
theme_week,2025-04-21/2025-04-27|Delivery delayed or not received,16,
theme_week,"2025-04-21/2025-04-27|Order change, cancellation & address",3,
theme_week,2025-04-21/2025-04-27|Payment & invoice,10,
theme_week,2025-04-21/2025-04-27|Pre-sales / compatibility (no fault),6,
theme_week,2025-04-21/2025-04-27|Return pickup & refund status,2,
theme_week,2025-04-21/2025-04-27|Unclear / other,29,
theme_week,2025-04-21/2025-04-27|Warranty claim / RMA status,4,
theme_week,2025-04-28/2025-05-04|Account access / login,4,
theme_week,2025-04-28/2025-05-04|App & firmware fault,8,
theme_week,2025-04-28/2025-05-04|Arrived damaged or dead on arrival,3,
theme_week,2025-04-28/2025-05-04|Audio quality fault,7,
theme_week,2025-04-28/2025-05-04|Charging & battery fault,4,
theme_week,2025-04-28/2025-05-04|Connectivity & pairing fault,7,
theme_week,2025-04-28/2025-05-04|Delivery delayed or not received,14,
theme_week,"2025-04-28/2025-05-04|Order change, cancellation & address",3,
theme_week,2025-04-28/2025-05-04|Payment & invoice,5,
theme_week,2025-04-28/2025-05-04|Pre-sales / compatibility (no fault),6,
theme_week,2025-04-28/2025-05-04|Return pickup & refund status,9,
theme_week,2025-04-28/2025-05-04|Unclear / other,24,
theme_week,2025-04-28/2025-05-04|Warranty claim / RMA status,4,
theme_week,2025-05-05/2025-05-11|App & firmware fault,5,
theme_week,2025-05-05/2025-05-11|Arrived damaged or dead on arrival,2,
theme_week,2025-05-05/2025-05-11|Audio quality fault,9,
theme_week,2025-05-05/2025-05-11|Charging & battery fault,9,
theme_week,2025-05-05/2025-05-11|Connectivity & pairing fault,5,
theme_week,2025-05-05/2025-05-11|Delivery delayed or not received,11,
theme_week,"2025-05-05/2025-05-11|Order change, cancellation & address",5,
theme_week,2025-05-05/2025-05-11|Payment & invoice,13,
theme_week,2025-05-05/2025-05-11|Pre-sales / compatibility (no fault),4,
theme_week,2025-05-05/2025-05-11|Return pickup & refund status,9,
theme_week,2025-05-05/2025-05-11|Unclear / other,34,
theme_week,2025-05-05/2025-05-11|Warranty claim / RMA status,2,
theme_week,2025-05-12/2025-05-18|Account access / login,2,
theme_week,2025-05-12/2025-05-18|App & firmware fault,11,
theme_week,2025-05-12/2025-05-18|Arrived damaged or dead on arrival,2,
theme_week,2025-05-12/2025-05-18|Audio quality fault,3,
theme_week,2025-05-12/2025-05-18|Charging & battery fault,6,
theme_week,2025-05-12/2025-05-18|Connectivity & pairing fault,7,
theme_week,2025-05-12/2025-05-18|Delivery delayed or not received,10,
theme_week,"2025-05-12/2025-05-18|Order change, cancellation & address",2,
theme_week,2025-05-12/2025-05-18|Payment & invoice,6,
theme_week,2025-05-12/2025-05-18|Pre-sales / compatibility (no fault),1,
theme_week,2025-05-12/2025-05-18|Return pickup & refund status,4,
theme_week,2025-05-12/2025-05-18|Unclear / other,32,
theme_week,2025-05-12/2025-05-18|Warranty claim / RMA status,3,
theme_week,2025-05-19/2025-05-25|Account access / login,3,
theme_week,2025-05-19/2025-05-25|App & firmware fault,11,
theme_week,2025-05-19/2025-05-25|Arrived damaged or dead on arrival,5,
theme_week,2025-05-19/2025-05-25|Audio quality fault,10,
theme_week,2025-05-19/2025-05-25|Charging & battery fault,6,
theme_week,2025-05-19/2025-05-25|Connectivity & pairing fault,8,
theme_week,2025-05-19/2025-05-25|Delivery delayed or not received,9,
theme_week,"2025-05-19/2025-05-25|Order change, cancellation & address",7,
theme_week,2025-05-19/2025-05-25|Payment & invoice,11,
theme_week,2025-05-19/2025-05-25|Pre-sales / compatibility (no fault),6,
theme_week,2025-05-19/2025-05-25|Return pickup & refund status,13,
theme_week,2025-05-19/2025-05-25|Unclear / other,19,
theme_week,2025-05-19/2025-05-25|Warranty claim / RMA status,2,
theme_week,2025-05-26/2025-06-01|Account access / login,1,
theme_week,2025-05-26/2025-06-01|App & firmware fault,10,
theme_week,2025-05-26/2025-06-01|Arrived damaged or dead on arrival,1,
theme_week,2025-05-26/2025-06-01|Audio quality fault,6,
theme_week,2025-05-26/2025-06-01|Charging & battery fault,8,
theme_week,2025-05-26/2025-06-01|Connectivity & pairing fault,13,
theme_week,2025-05-26/2025-06-01|Delivery delayed or not received,12,
theme_week,"2025-05-26/2025-06-01|Order change, cancellation & address",5,
theme_week,2025-05-26/2025-06-01|Payment & invoice,13,
theme_week,2025-05-26/2025-06-01|Pre-sales / compatibility (no fault),4,
theme_week,2025-05-26/2025-06-01|Return pickup & refund status,5,
theme_week,2025-05-26/2025-06-01|Unclear / other,27,
theme_week,2025-05-26/2025-06-01|Warranty claim / RMA status,2,
theme_week,2025-06-02/2025-06-08|App & firmware fault,4,
theme_week,2025-06-02/2025-06-08|Arrived damaged or dead on arrival,3,
theme_week,2025-06-02/2025-06-08|Audio quality fault,6,
theme_week,2025-06-02/2025-06-08|Charging & battery fault,11,
theme_week,2025-06-02/2025-06-08|Connectivity & pairing fault,7,
theme_week,2025-06-02/2025-06-08|Delivery delayed or not received,5,
theme_week,"2025-06-02/2025-06-08|Order change, cancellation & address",4,
theme_week,2025-06-02/2025-06-08|Payment & invoice,9,
theme_week,2025-06-02/2025-06-08|Pre-sales / compatibility (no fault),3,
theme_week,2025-06-02/2025-06-08|Return pickup & refund status,8,
theme_week,2025-06-02/2025-06-08|Unclear / other,31,
theme_week,2025-06-02/2025-06-08|Warranty claim / RMA status,2,
theme_week,2025-06-09/2025-06-15|Account access / login,4,
theme_week,2025-06-09/2025-06-15|App & firmware fault,10,
theme_week,2025-06-09/2025-06-15|Arrived damaged or dead on arrival,2,
theme_week,2025-06-09/2025-06-15|Audio quality fault,9,
theme_week,2025-06-09/2025-06-15|Charging & battery fault,9,
theme_week,2025-06-09/2025-06-15|Connectivity & pairing fault,6,
theme_week,2025-06-09/2025-06-15|Delivery delayed or not received,11,
theme_week,"2025-06-09/2025-06-15|Order change, cancellation & address",2,
theme_week,2025-06-09/2025-06-15|Payment & invoice,11,
theme_week,2025-06-09/2025-06-15|Pre-sales / compatibility (no fault),4,
theme_week,2025-06-09/2025-06-15|Return pickup & refund status,4,
theme_week,2025-06-09/2025-06-15|Unclear / other,26,
theme_week,2025-06-09/2025-06-15|Warranty claim / RMA status,2,
theme_week,2025-06-16/2025-06-22|Account access / login,3,
theme_week,2025-06-16/2025-06-22|App & firmware fault,7,
theme_week,2025-06-16/2025-06-22|Arrived damaged or dead on arrival,5,
theme_week,2025-06-16/2025-06-22|Audio quality fault,4,
theme_week,2025-06-16/2025-06-22|Charging & battery fault,13,
theme_week,2025-06-16/2025-06-22|Connectivity & pairing fault,11,
theme_week,2025-06-16/2025-06-22|Delivery delayed or not received,11,
theme_week,"2025-06-16/2025-06-22|Order change, cancellation & address",6,
theme_week,2025-06-16/2025-06-22|Payment & invoice,8,
theme_week,2025-06-16/2025-06-22|Pre-sales / compatibility (no fault),1,
theme_week,2025-06-16/2025-06-22|Return pickup & refund status,8,
theme_week,2025-06-16/2025-06-22|Unclear / other,27,
theme_week,2025-06-16/2025-06-22|Warranty claim / RMA status,4,
theme_week,2025-06-23/2025-06-29|Account access / login,2,
theme_week,2025-06-23/2025-06-29|App & firmware fault,6,
theme_week,2025-06-23/2025-06-29|Arrived damaged or dead on arrival,2,
theme_week,2025-06-23/2025-06-29|Audio quality fault,8,
theme_week,2025-06-23/2025-06-29|Charging & battery fault,9,
theme_week,2025-06-23/2025-06-29|Connectivity & pairing fault,3,
theme_week,2025-06-23/2025-06-29|Delivery delayed or not received,10,
theme_week,"2025-06-23/2025-06-29|Order change, cancellation & address",6,
theme_week,2025-06-23/2025-06-29|Payment & invoice,7,
theme_week,2025-06-23/2025-06-29|Pre-sales / compatibility (no fault),3,
theme_week,2025-06-23/2025-06-29|Return pickup & refund status,7,
theme_week,2025-06-23/2025-06-29|Unclear / other,19,
theme_week,2025-06-23/2025-06-29|Warranty claim / RMA status,5,
theme_week,2025-06-30/2025-07-06|Account access / login,4,
theme_week,2025-06-30/2025-07-06|App & firmware fault,11,
theme_week,2025-06-30/2025-07-06|Arrived damaged or dead on arrival,6,
theme_week,2025-06-30/2025-07-06|Audio quality fault,6,
theme_week,2025-06-30/2025-07-06|Charging & battery fault,7,
theme_week,2025-06-30/2025-07-06|Connectivity & pairing fault,11,
theme_week,2025-06-30/2025-07-06|Delivery delayed or not received,5,
theme_week,"2025-06-30/2025-07-06|Order change, cancellation & address",5,
theme_week,2025-06-30/2025-07-06|Payment & invoice,6,
theme_week,2025-06-30/2025-07-06|Pre-sales / compatibility (no fault),11,
theme_week,2025-06-30/2025-07-06|Return pickup & refund status,2,
theme_week,2025-06-30/2025-07-06|Unclear / other,24,
theme_week,2025-06-30/2025-07-06|Warranty claim / RMA status,4,
theme_week,2025-07-07/2025-07-13|Account access / login,2,
theme_week,2025-07-07/2025-07-13|App & firmware fault,7,
theme_week,2025-07-07/2025-07-13|Arrived damaged or dead on arrival,2,
theme_week,2025-07-07/2025-07-13|Audio quality fault,5,
theme_week,2025-07-07/2025-07-13|Charging & battery fault,14,
theme_week,2025-07-07/2025-07-13|Connectivity & pairing fault,8,
theme_week,2025-07-07/2025-07-13|Delivery delayed or not received,12,
theme_week,"2025-07-07/2025-07-13|Order change, cancellation & address",4,
theme_week,2025-07-07/2025-07-13|Payment & invoice,11,
theme_week,2025-07-07/2025-07-13|Pre-sales / compatibility (no fault),2,
theme_week,2025-07-07/2025-07-13|Return pickup & refund status,4,
theme_week,2025-07-07/2025-07-13|Unclear / other,20,
theme_week,2025-07-07/2025-07-13|Warranty claim / RMA status,3,
theme_week,2025-07-14/2025-07-20|Account access / login,4,
theme_week,2025-07-14/2025-07-20|App & firmware fault,8,
theme_week,2025-07-14/2025-07-20|Arrived damaged or dead on arrival,3,
theme_week,2025-07-14/2025-07-20|Audio quality fault,6,
theme_week,2025-07-14/2025-07-20|Charging & battery fault,8,
theme_week,2025-07-14/2025-07-20|Connectivity & pairing fault,12,
theme_week,2025-07-14/2025-07-20|Delivery delayed or not received,7,
theme_week,"2025-07-14/2025-07-20|Order change, cancellation & address",4,
theme_week,2025-07-14/2025-07-20|Payment & invoice,15,
theme_week,2025-07-14/2025-07-20|Pre-sales / compatibility (no fault),8,
theme_week,2025-07-14/2025-07-20|Return pickup & refund status,2,
theme_week,2025-07-14/2025-07-20|Unclear / other,23,
theme_week,2025-07-14/2025-07-20|Warranty claim / RMA status,1,
theme_week,2025-07-21/2025-07-27|Account access / login,3,
theme_week,2025-07-21/2025-07-27|App & firmware fault,11,
theme_week,2025-07-21/2025-07-27|Arrived damaged or dead on arrival,4,
theme_week,2025-07-21/2025-07-27|Audio quality fault,4,
theme_week,2025-07-21/2025-07-27|Charging & battery fault,11,
theme_week,2025-07-21/2025-07-27|Connectivity & pairing fault,8,
theme_week,2025-07-21/2025-07-27|Delivery delayed or not received,5,
theme_week,"2025-07-21/2025-07-27|Order change, cancellation & address",6,
theme_week,2025-07-21/2025-07-27|Payment & invoice,11,
